num_estacion,lat,lon,nombre
316,-34.605638,-58.4533609,SAN MARTIN
317,-34.5797368,-58.4578146,GIRIBONE
318,-34.603935,-58.45732,ESPINOSA
319,-34.6036,-58.4036,PASO Y LAVALLE
320,-34.584058,-58.440073,Carranza Y Gorriti
321,-34.561851,-58.444754,EDUARDO OLIVERA
322,-34.5513269,-58.4541858,MONTAÑESES
323,-34.565275,-58.459401,ECHEVERRIA
324,-34.578933,-58.4840556,JURAMENTO
325,-34.645252,-58.416547,SAENZ
326,-34.6411734,-58.4202266,POMAR
327,-34.654386,-58.419928,TILCARA
328,-34.598549,-58.397354,Plaza Houssay
329,-34.5931053,-58.4351681,Plaza Gurruchaga
330,-34.6008,-58.47,Paternal
332,-34.602133,-58.490891,Nogoya Y Argerich
333,-34.6004332,-58.5036238,Beiro
335,-34.615852,-58.470907,Galicia
336,-34.5999173,-58.5114159,PLAZA ARENALES
337,-34.5985,-58.4613,Segui
338,-34.602931,-58.479421,Terrero
339,-34.61938,-58.45471,ARANGUREN Y SEGUI
340,-34.626242,-58.467329,Flores
341,-34.6142336,-58.4813858,Margariños Cervantes y Argerich
342,-34.616813,-58.484297,Campana
343,-34.6357272,-58.4411639,Parque Chacabuco II
345,-34.5947762,-58.4750615,Parque La Paternal
347,-34.5834356,-58.4065391,Parque Las Heras II
348,-34.610482,-58.474369,Margariños Cervantes
349,-34.570894,-58.466884,Sucre y Martinez
350,-34.567996,-58.4851455,Valdenegro
351,-34.5717033,-58.4520772,Colegiales
352,-34.5807104,-58.4248291,Guemes
353,-34.5986779,-58.3647259,Madero Office
354,-34.613457,-58.4401581,Sanatorio Mendez
355,-34.5675048,-58.4465088,Plazoleta Rafael del Riego
356,-34.547695,-58.4584684,Arribeños
358,-34.5615465,-58.4655255,Balbín
359,-34.555654,-58.4504687,Fleni
361,-34.569147,-58.453732,Plaza J.J. Paso
362,-34.566746,-58.479108,Holmberg
363,-34.642052,-58.46205,Plaza Tupac Amaru
364,-34.568722,-58.434381,Matienzo Y Arce
366,-34.635402,-58.482602,Plaza Ramon Falcon
367,-34.6163487,-58.4772418,Belaustegui
369,-34.592244,-58.491797,Navarro
370,-34.590964,-58.500336,Plaza Martin Rodriguez
371,-34.63281,-58.455058,Plaza De La Misericordia
372,-34.636406,-58.470136,MARTÍ Y DIRECTORIO
373,-34.5824889,-58.4810286,Plaza Exodo Jujeño
374,-34.645764,-58.4573968,Mariano Castex
375,-34.6050537,-58.4847864,Arregui Y Terrada
376,-34.626698,-58.4871352,Las Victorias
377,-34.607333,-58.422987,ACUÑA DE FIGUEROA Y POTOSI
378,-34.623123,-58.468287,HOSPITAL ALVAREZ
379,-34.560162,-58.428163,De Los Ombues
380,-34.6060382,-58.46481,Cervantes y Trelles
381,-34.6153,-58.4665179,Plaza Nuestra Señora de la Asuncion
382,-34.605452,-58.477426,Biarritz
383,-34.571621,-58.489026,Plaza Echeverria
384,-34.579734,-58.4618523,Plaza 25 De Agosto
385,-34.6061187,-58.4934192,Plaza Aristóbulo Del Valle
386,-34.5656428,-58.475512,Coghlan
387,-34.6019716,-58.4655301,Donato Alvarez
388,-34.580927,-58.48455,Andonaegui
389,-34.62795,-58.44024,OEA
390,-34.547758,-58.459881,11 de septiembre
391,-34.5508944,-58.4719176,Larralde
392,-34.554754,-58.485419,TRONADOR Y GARCÍA DEL RÍO
393,-34.590848,-58.468535,Jose Artigas
394,-34.649578,-58.462646,Plaza Jose Marti
395,-34.5968038,-58.4535687,Huaura
396,-34.601852,-58.448011,Tres Arroyos Y Olaya
397,-34.5979984,-58.4856262,Artigas Y Melincue
398,-34.5761817,-58.4546508,Gregoria Perez
399,-34.6340414,-58.446273,Parque Chacabuco  I
400,-34.579751,-58.471003,De Los Incas
401,-34.6347618,-58.4795922,Ramón Falcon
402,-34.5976121,-58.4985424,BEIRO Y SAN MARTÍN
404,-34.543949,-58.4408983,Cero Más Infinito
405,-34.5767497,-58.4689771,Plaza Y Carbajal
406,-34.6009283,-58.3642613,Emma De La Barra
407,-34.6429977,-58.4815713,Parque Avellaneda
408,-34.6600076,-58.4683699,UTN
409,-34.654801,-58.412878,AMANCIO ALCORTA
411,-34.6385808,-58.4769856,Ensenada
412,-34.6626285,-58.4411434,Villa Soldati
413,-34.6545736,-58.379346,CMD
414,-34.607731,-58.4383041,Franklin
415,-34.6203961,-58.4637146,Gavilan Y Vallese
416,-34.5532664,-58.469072,Plaza Francisco Ramirez
417,-34.6053524,-58.3880338,Centro Cultural San Martin
418,-34.580773,-58.4446136,Plaza Mafalda
419,-34.547673,-58.467851,Plaza Balcarce
420,-34.5440696,-58.4390434,Ciudad Universitaria I
421,-34.5419013,-58.4438699,Ciudad Universitaria II
422,-34.5409892,-58.4442786,Ciudad Uuniversitaria III
424,-34.638584,-58.399683,Luna
425,-34.6440763,-58.422091,Av. La Plata
426,-34.555582,-58.457962,PLAZA ALBERTI
427,-34.64072,-58.367461,PLAZA MATHEU
428,-34.587458,-58.4739506,HOSPITAL TORNU
429,-34.6115826,-58.484692,JUAN AGUSTIN GARCIA
430,-34.607981,-58.3778856,Claudia Pia Braudacco
431,-34.5430055,-58.4361167,PARQUE DE LA MEMORIA
432,-34.620249,-58.435877,Jose Maria Moreno
433,-34.637491,-58.373638,Plazoleta Colombia
434,-34.5457258,-58.4650865,Plaza Lucio Demare
435,-34.5445971,-58.4595541,Club Ciudad de Buenos Aires
436,-34.5782972,-58.4450299,Plaza Colegiales
441,-34.61001199,-58.3749195,Legislatura
442,-34.6056194,-58.371607,Perón
443,-34.6157533,-58.3706184,Balcarce
444,-34.6089087,-58.3711541,Ministerio de Economia
448,-34.5832497,-58.3787309,Barrio 31
449,-34.6289374,-58.4636606,San Jose de Flores
